U.S. Custom Ports,Coast,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Aberdeen, WA",P,0,79,75,0,0,186,0,0,0,16,303,664,23,"1,792",40,0
"Anacortes, WA",P,0,0,0,0,0,0,270,0,0,0,0,275,0,0,"1,229",0
"Anchorage, AK",AK,"115,063","118,184","184,764","235,299","303,477","363,846","317,569","318,786","284,621","277,836","305,715","428,266","396,805","107,912","4,635","7,213"
"Baltimore, MD",A,"885,333","797,268","874,859","1,052,888","1,126,602","1,285,000","1,360,669","1,627,076","1,619,756","1,860,083","1,715,195","1,692,300","1,990,016","2,041,155","1,882,760","2,030,288"
"Baton Rouge, LA",G,0,584,"13,188",14,0,0,6,0,0,0,0,"6,117",0,0,76,0
"Beaufort-Morehead City, NC",A,176,97,0,7,0,98,19,11,0,0,0,0,65,0,0,0
"Beaumont, TX",G,397,96,183,211,704,698,0,162,"36,489",0,567,"50,635",259,0,794,"4,075"
"Boston, MA",A,"158,034","104,419","205,438","296,543","404,831","490,055","511,013","508,337","430,228","528,289","353,271","422,251","567,026","667,439","780,049","794,360"
"Brunswick, GA",A,510,"5,691",14,"1,159",226,0,0,92,0,9,"1,741",735,"3,503","1,455","7,239","10,517"
"Camden, NJ",A,"49,527","58,837","45,635","56,194","58,742","86,758","70,355","73,544","28,116","77,593","67,210","24,077","17,855",0,0,0
"Charleston, SC",A,"5,761,840","4,997,649","5,011,157","4,695,384","5,311,196","5,735,524","5,615,507","5,901,945","5,735,223","4,272,349","5,058,746","5,188,614","5,399,608","5,747,495","6,168,575","6,387,259"
"Chester, PA",A,"194,536","210,951","218,222","254,366","296,344","366,215","367,366","410,446","408,305","262,855","352,306","324,883","372,875","243,053","335,693","295,099"
"Corpus Christi, TX",G,158,486,0,315,0,0,0,"1,680",26,62,209,0,191,32,0,478
"Everett, WA",P,"7,425","4,091",0,0,0,"19,193","15,186","33,322","45,520","26,119","35,436","49,585","29,324","4,605","6,957","12,791"
"Fernandina Beach, FL",A,"85,388","85,323","82,255","70,517","70,965","81,285","107,873","107,381","139,809","108,092","140,590","76,447","48,951","30,806","27,371","25,214"
"Fort Pierce, FL",A,"1,060",157,453,"1,869","10,423","15,484","15,407","18,109","90,713","73,087","73,358","77,878","39,944",0,0,0
"Freeport, TX",G,"192,791","223,372","230,803","217,137","227,865","249,017","269,151","278,945","246,306","214,168","245,148","205,854","256,853","248,634","225,705","328,238"
"Galveston, TX",G,"14,017","35,522","24,975","15,023","22,758","13,447","15,263","19,630","23,741","24,256","23,845","20,876","37,670","54,857","59,928","50,592"
"Gloucester City, NJ",A,"69,727","49,961","41,408","5,228",181,404,82,55,0,1,"9,457","47,204","38,231","26,760","13,845","34,223"
"Gramercy, LA",G,"10,557","21,225","11,319","5,246","2,731","4,029","2,173",586,"6,551","1,185","1,312","3,521",885,0,0,0
"Gulfport, MS",G,"576,896","583,403","658,009","768,183","864,791","623,046","547,597","580,986","583,815","521,153","673,100","672,593","663,841","682,372","557,553","418,093"
"Honolulu, HI",HI,"120,489","135,305","138,590","153,963","221,736","262,356","253,347","154,074","143,356","140,571","126,770","147,812","88,369","346,954","338,848","315,744"
"Houston, TX",G,"3,748,727","4,126,301","4,166,946","4,696,302","5,676,388","6,281,963","6,096,220","8,044,785","7,790,857","7,905,669","8,729,367","9,160,697","9,402,948","9,762,589","9,394,336","9,823,956"
"Jacksonville, FL",A,"672,144","634,335","653,607","607,430","806,671","754,673","736,944","681,737","688,239","929,925","1,222,609","1,402,505","1,321,147","3,932,232","3,847,884","3,648,727"
"Kodiak, AK",AK,0,166,23,"1,014","2,588","5,665","11,368","1,261",0,"1,156",0,"5,488","10,811","11,450","3,199","16,031"
"Lake Charles, LA",G,"2,062","33,915","34,238","59,824","12,897","7,607","4,003","9,522","13,035","14,440","22,304","11,152","16,119","8,607",10,732
"Long Beach, CA",P,"7,591,478","7,708,555","6,590,408","6,684,338","7,418,085","9,834,179","9,675,962","12,871,349","13,991,264","12,196,814","13,991,087","12,937,170","12,930,587","15,264,056","14,064,472","12,982,908"
"Longview, WA",P,92,248,0,0,0,0,0,0,0,71,0,"9,918","4,605","37,553","3,808","2,698"
"Los Angeles, CA",P,"7,466,325","7,582,067","7,946,535","9,466,979","9,580,920","10,089,448","12,377,279","14,256,162","16,515,276","15,662,474","17,644,268","20,167,385","18,901,846","17,193,896","16,968,648","14,775,506"
"Mayaguez, PR",PR,"56,879","55,089","59,210","59,724","61,917","64,149","62,005","49,424","41,067","17,539","26,193","9,376",0,0,0,0
"Miami, FL",A,"2,606,106","2,792,140","2,625,354","2,511,059","2,463,332","2,415,536","2,241,636","2,405,200","2,604,652","2,681,376","2,933,610","3,111,955","2,963,049","2,931,364","2,711,838","2,960,722"
"Mobile, AL",G,"84,589","76,573","73,195","76,889","135,527","107,378","190,946","335,897","401,832","582,011","500,369","558,326","1,040,294","1,156,633","1,229,227","1,183,410"
"New Orleans, LA",G,"1,519,138","1,524,685","1,368,904","1,577,957","1,656,560","1,305,845","1,208,395","1,974,654","1,751,135","1,863,061","2,422,843","2,621,653","2,713,190","2,675,088","3,031,772","3,116,571"
"New York, NY",A,"5,879,875","6,644,899","6,309,373","7,133,716","7,680,811","8,205,884","8,530,881","10,507,031","11,318,068","10,719,971","12,308,898","13,223,076","12,790,070","11,918,423","11,435,216","11,514,101"
"Newport News, VA",A,"297,527","183,789","183,755","289,353","334,865","357,587","264,037","239,222","97,275","2,088",0,"5,376",0,39,"28,603","17,499"
"Norfolk, VA",A,"3,645,280","3,944,320","3,618,420","3,949,974","4,244,549","4,840,288","5,126,431","6,689,127","7,233,725","6,662,380","6,795,196","7,114,179","7,835,053","8,823,507","9,042,574","8,793,497"
"Oakland, CA",P,"5,381,066","5,236,205","4,667,146","5,176,974","5,707,987","6,196,381","5,882,336","6,561,171","6,832,961","7,657,738","7,879,131","8,156,458","8,129,630","8,547,992","8,021,221","7,236,240"
