U.S. Custom Ports,Coast,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Aberdeen, WA",P,0,11,11,0,0,12,0,0,0,2,30,87,3,469,10,0
"Anacortes, WA",P,0,0,0,0,0,0,18,0,0,0,0,25,0,0,139,0
"Anchorage, AK",AK,"11,415","11,103","17,243","21,582","27,063","32,485","28,231","28,451","25,370","24,920","27,269","37,886","35,073","9,467",412,616
"Baltimore, MD",A,"103,391","95,780","99,258","114,900","118,086","137,914","150,244","174,999","175,252","177,077","167,602","167,823","195,602","201,679","188,957","203,439"
"Baton Rouge, LA",G,0,41,848,2,0,0,1,0,0,0,0,436,0,0,4,0
"Beaufort-Morehead City, NC",A,26,6,0,1,0,12,4,2,0,0,0,0,4,0,0,0
"Beaumont, TX",G,43,13,31,36,74,39,0,35,"2,920",0,51,6,40,0,50,273
"Boston, MA",A,"19,278","13,342","24,557","34,324","46,558","56,463","60,228","63,812","56,081","64,447","43,846","51,533","57,602","64,461","74,195","75,518"
"Brunswick, GA",A,52,489,1,83,36,0,0,21,0,2,152,79,"1,363",209,694,"1,099"
"Camden, NJ",A,"6,248","7,416","6,183","7,383","8,493","10,569","9,097","9,409","3,485","9,753","8,067","2,786","1,935",0,0,0
"Charleston, SC",A,"627,720","546,587","521,289","529,131","583,669","620,494","618,095","640,902","639,608","455,278","520,748","545,291","567,088","625,625","682,501","721,828"
"Chester, PA",A,"19,760","22,723","23,570","28,209","35,848","45,613","45,641","50,997","52,325","29,000","37,189","35,242","38,126","25,093","35,168","33,000"
"Corpus Christi, TX",G,16,69,0,31,0,0,0,179,2,9,28,0,17,5,0,87
"Everett, WA",P,906,378,0,0,0,"2,622","1,872","2,806","3,779","2,265","2,939","4,652","2,702",524,660,"1,029"
"Fernandina Beach, FL",A,"9,002","9,120","8,291","7,747","8,091","8,732","11,137","11,385","14,866","11,838","14,699","8,042","5,155","3,472","3,126","3,035"
"Fort Pierce, FL",A,95,18,54,207,"1,281","2,028","2,194","2,397","10,453","8,470","8,695","9,401","4,965",0,0,0
"Freeport, TX",G,"20,685","24,067","24,992","22,540","23,202","25,713","27,982","28,511","25,087","22,319","25,648","21,924","26,583","26,695","25,159","38,760"
"Galveston, TX",G,"1,506","4,148","2,716","1,585","2,556","1,558","1,726","2,246","2,671","2,526","2,790","2,568","4,092","5,381","6,063","4,640"
"Gloucester City, NJ",A,"9,165","6,144","5,807",713,25,83,12,12,0,1,"1,263","5,308","4,407","3,270","1,829","4,348"
"Gramercy, LA",G,935,"2,240","1,167",584,289,418,205,79,635,144,151,154,112,0,0,0
"Gulfport, MS",G,"74,171","73,466","79,922","94,282","106,734","76,944","64,392","67,848","65,703","58,462","76,485","75,201","73,218","74,305","61,802","49,231"
"Honolulu, HI",HI,"13,331","14,546","16,113","18,363","24,082","27,633","26,876","13,618","12,733","12,453","11,253","12,502","7,711","39,748","38,182","36,141"
"Houston, TX",G,"366,313","402,008","430,301","483,186","565,481","624,279","613,999","800,271","800,089","773,450","827,066","859,112","875,625","916,988","879,452","918,112"
