U.S. Custom Ports,Coast,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Aberdeen, WA",P,0,0,0,0,0,1,0,0,0,2,0,2,75,64,7,0
"Anacortes, WA",P,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Anchorage, AK",AK,0,0,0,350,"2,631",513,129,78,57,109,34,217,299,465,995,"1,528"
"Baltimore, MD",A,"172,564","177,638","202,686","191,945","236,094","244,069","256,621","254,494","262,201","228,555","280,093","304,501","319,662","334,414","349,344","387,313"
"Baton Rouge, LA",G,2,0,75,4,1,15,152,0,0,67,390,145,3,97,4,2
"Beaufort-Morehead City, NC",A,0,38,124,60,19,27,2,41,21,0,26,36,8,0,74,0
"Beaumont, TX",G,169,41,128,2,43,0,117,296,288,382,472,387,"1,100",134,9,2
"Boston, MA",A,"54,222","50,736","55,522","58,285","72,653","74,084","80,237","94,333","92,759","83,728","79,872","97,357","95,243","96,954","105,306","114,834"
"Brunswick, GA",A,0,0,2,7,2,14,10,23,2,6,84,116,55,72,311,380
"Camden, NJ",A,298,339,257,356,524,141,"1,151",961,"1,062","1,823",51,55,36,0,168,0
"Charleston, SC",A,"618,461","612,163","676,109","720,639","837,582","901,107","889,377","768,829","693,699","499,558","548,276","601,879","649,377","665,972","742,906","831,750"
"Chester, PA",A,"31,959","31,466","35,491","44,301","48,670","55,597","51,576","52,045","49,650","34,658","45,768","46,904","27,588","41,901","58,050","65,219"
"Corpus Christi, TX",G,0,20,48,25,46,0,380,595,243,195,241,380,"1,051",7,0,92
"Everett, WA",P,927,412,203,0,131,0,"1,231",273,"1,538","2,729","2,610","4,312",677,"1,824","1,507","3,915"
"Fernandina Beach, FL",A,"8,782","7,057","5,961","4,617","4,337","7,221","7,854","3,913","1,233",769,683,711,307,344,461,155
"Fort Pierce, FL",A,14,2,2,56,252,840,"1,192","2,380","3,717","4,248","3,062","3,582","2,150",39,1,0
"Freeport, TX",G,"23,829","19,442","29,269","27,639","26,784","27,809","26,657","31,326","31,114","35,370","31,601","29,609","34,235","46,986","35,702","32,897"
"Galveston, TX",G,"1,999","6,031","12,459","4,816","6,248","3,607","6,333","3,982","5,047","6,016","8,037","11,427","8,517","13,999","14,149","17,487"
"Gloucester City, NJ",A,19,507,25,109,35,0,541,"3,136","2,573",854,"5,249","6,242","3,426","10,473","24,219","30,719"
"Gramercy, LA",G,2,"5,924",392,"6,303","1,062",784,"1,097",933,761,475,656,494,251,1,0,0
"Gulfport, MS",G,"81,495","85,480","92,878","109,807","119,934","108,930","97,230","104,009","106,901","100,172","104,850","107,875","103,030","96,999","87,420","65,945"
"Honolulu, HI",HI,"13,078","13,827","15,534","18,545","21,372","23,626","25,279","23,333","22,299","17,941","18,024","17,467","18,155","20,243","23,313","22,094"
"Houston, TX",G,"366,821","381,308","420,361","449,697","532,288","625,933","662,271","616,439","574,348","481,703","519,247","559,316","618,891","654,790","752,897","842,740"
"Jacksonville, FL",A,"30,914","24,520","35,733","41,654","41,627","45,352","48,100","41,113","49,623","76,410","92,617","117,009","127,403","240,450","262,829","270,325"
"Kodiak, AK",AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lake Charles, LA",G,0,0,929,240,38,71,7,276,23,152,542,665,672,8,2,4
"Long Beach, CA",P,"2,401,300","2,376,417","2,466,756","2,367,612","2,951,439","3,374,091","3,747,342","3,672,384","3,132,228","2,499,561","3,050,893","3,023,922","3,046,363","3,444,680","3,538,195","3,620,577"
"Longview, WA",P,0,0,0,0,0,3,0,98,745,97,233,41,17,3,0,0
"Los Angeles, CA",P,"2,428,794","2,613,777","3,193,804","3,641,579","3,845,539","3,865,546","4,426,542","4,327,486","4,048,462","3,506,696","3,880,572","4,057,419","4,068,235","3,924,612","4,189,035","3,980,832"
"Mayaguez, PR",PR,"9,738","10,510","11,863","12,059","12,120","14,230","15,014","16,310","12,098","5,581","6,163","4,745","4,561","3,024","1,004",0
"Miami, FL",A,"335,294","346,559","402,726","427,679","465,052","443,972","429,938","345,214","313,019","287,083","308,156","345,972","354,702","351,724","344,066","408,253"
"Mobile, AL",G,"5,514","6,346","6,240","6,031","9,232","14,005","26,615","35,121","38,194","34,838","35,152","54,558","59,743","68,721","70,087","81,912"
"New Orleans, LA",G,"91,384","85,647","89,498","97,840","99,855","70,004","70,475","78,612","82,527","74,843","78,433","86,693","80,052","81,004","92,826","114,024"
"New York, NY",A,"1,511,579","1,587,675","1,879,455","1,964,759","2,238,763","2,438,367","2,601,327","2,641,667","2,567,409","2,288,443","2,623,861","2,722,781","2,777,360","2,787,511","2,922,714","3,190,552"
"Newport News, VA",A,"40,057","23,988","36,795","47,890","57,920","61,236","44,255","28,622","13,217",77,21,81,213,494,"1,201","1,951"
"Norfolk, VA",A,"437,523","454,216","551,168","633,455","717,346","780,918","834,198","857,703","811,382","677,798","721,369","726,910","817,486","900,292","981,189","1,042,138"
"Oakland, CA",P,"418,924","419,010","482,485","516,558","613,296","761,971","815,837","796,738","726,051","640,796","739,323","740,123","748,807","771,921","824,441","814,967"
"Panama City, FL",G,7,0,0,11,0,"7,184","26,315","21,491","18,815","16,306","14,556","19,260","18,699","17,686","16,282","14,765"
"Pensacola, FL",G,0,90,0,1,0,20,6,0,231,0,0,0,0,53,24,5
"Pensauken, NJ",A,6,5,2,18,22,27,43,0,0,0,158,0,0,"15,216","13,890","19,415"
