U.S. Custom Ports,Coast,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Aberdeen, WA",P,0,79,75,0,0,194,0,0,0,45,303,680,437,"2,437",895,43
"Anacortes, WA",P,0,0,0,0,0,0,270,0,0,0,0,275,0,11,"1,229",0
"Anchorage, AK",AK,"115,063","118,184","184,764","238,434","331,971","368,795","318,754","319,609","285,284","279,043","306,256","430,569","402,275","121,186","11,426","18,860"
"Baltimore, MD",A,"2,785,021","2,739,426","3,063,987","3,130,884","3,768,490","3,925,988","4,185,218","4,383,406","4,474,852","4,240,713","4,644,224","4,801,046","5,233,558","5,479,761","5,574,240","6,008,065"
"Baton Rouge, LA",G,8,584,"14,147",35,3,149,"1,567",0,0,"1,164","6,456","8,704",12,"1,987",148,0
"Beaufort-Morehead City, NC",A,176,643,"1,576",590,226,721,37,137,279,0,268,866,436,0,667,0
"Beaumont, TX",G,882,824,"2,314",223,"1,026",698,453,"2,318","38,333","2,539","3,852","53,004","7,049","1,292","1,985","4,941"
"Boston, MA",A,"632,515","549,652","687,818","799,348","1,005,669","1,083,666","1,160,663","1,243,344","1,148,190","1,186,376","999,199","1,171,710","1,331,638","1,433,117","1,611,271","1,709,542"
"Brunswick, GA",A,510,"5,691",29,"1,178",231,120,54,229,7,27,"2,108","1,361","3,770","2,251","14,124","16,970"
"Camden, NJ",A,"53,013","62,795","48,149","59,184","66,522","89,035","90,148","87,066","43,015","99,097","67,687","24,419","18,310",0,"2,124",0
"Charleston, SC",A,"10,735,445","9,887,521","10,288,691","10,146,149","11,727,565","12,628,992","12,336,742","11,795,629","11,123,719","8,192,745","9,391,524","9,830,885","10,374,640","10,900,960","11,982,981","12,848,420"
"Chester, PA",A,"535,879","527,035","568,124","687,882","813,144","952,886","901,745","944,349","912,879","604,537","810,088","787,877","637,575","638,103","880,656","908,225"
"Corpus Christi, TX",G,158,556,517,526,319,0,"1,737","6,715","1,619","1,963","1,939","2,475","6,825",176,340,"1,251"
"Everett, WA",P,"15,999","8,242",614,0,773,"19,193","23,129","34,147","53,546","35,447","44,761","60,774","32,185","15,929","16,088","35,079"
"Fernandina Beach, FL",A,"171,161","162,108","138,603","115,088","113,343","156,312","189,544","150,071","152,159","113,646","146,177","81,739","51,343","36,002","36,071","34,581"
"Fort Pierce, FL",A,"1,115",159,467,"2,318","11,488","19,631","21,659","29,038","107,014","91,797","86,737","93,812","51,316",80,19,0
"Freeport, TX",G,"405,547","391,997","491,569","465,496","466,725","495,610","507,338","557,085","529,857","521,131","516,463","464,931","558,124","683,126","564,574","661,931"
"Galveston, TX",G,"33,532","96,227","137,906","62,867","82,574","47,348","76,675","59,766","81,248","81,091","95,471","122,013","116,754","186,391","192,019","216,056"
"Gloucester City, NJ",A,"69,854","58,450","41,620","6,348",537,404,"5,937","39,586","33,276","10,940","61,978","107,080","72,909","123,484","240,164","325,680"
"Gramercy, LA",G,"10,566","76,775","16,385","71,555","15,505","17,585","22,890","19,153","20,032","9,469","11,331","11,827","4,493",12,0,0
