U.S. Custom Ports,Coast,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Aberdeen, WA",P,0,11,11,0,0,13,0,0,0,2,30,89,78,533,17,0
"Anacortes, WA",P,0,0,0,0,0,0,18,0,0,0,0,25,0,1,139,0
"Anchorage, AK",AK,"11,415","11,103","17,243","21,932","29,694","32,997","28,360","15,082","12,320","11,234","27,251","33,937","7,062","9,932","1,407","2,144"
"Baltimore, MD",A,"275,955","273,418","301,944","306,845","354,180","381,984","406,865","429,500","437,463","405,631","447,716","472,324","515,265","536,106","538,463","590,752"
"Baton Rouge, LA",G,2,41,923,6,1,15,153,0,0,67,390,581,3,97,8,2
"Beaufort-Morehead City, NC",A,26,44,124,61,19,39,6,43,21,0,26,36,12,0,74,0
"Beaumont, TX",G,212,54,159,38,117,39,117,331,"3,208",382,523,393,"1,140",134,58,274
"Boston, MA",A,"73,500","64,078","80,079","92,609","119,211","130,547","140,466","158,145","148,839","148,177","123,717","148,893","152,851","161,415","179,499","190,352"
"Brunswick, GA",A,52,489,3,90,38,14,10,44,2,8,236,195,"1,418",281,"1,005","1,480"
"Camden, NJ",A,"6,546","7,756","6,440","7,739","9,016","10,710","10,248","4,262","2,508","6,560","5,741",5,60,0,168,0
"Charleston, SC",A,"1,246,181","1,158,751","1,197,398","1,249,770","1,421,251","1,521,601","1,507,472","1,409,732","1,333,324","954,860","1,069,069","1,147,173","1,216,510","1,291,598","1,425,302","1,553,578"
"Chester, PA",A,"51,719","54,189","59,061","72,509","84,518","101,210","97,217","103,042","101,974","63,658","82,956","82,146","65,714","66,994","93,218","98,219"
"Corpus Christi, TX",G,16,89,48,56,46,0,380,778,249,204,269,380,"1,118",12,0,179
"Everett, WA",P,"1,834",791,203,0,131,"2,622","3,103","3,079","5,317","4,994","5,549","8,964","3,378","2,348","2,167","4,944"
"Fernandina Beach, FL",A,"17,784","16,176","14,251","12,364","12,427","15,953","18,991","15,298","16,099","12,607","15,394","8,754","5,462","3,816","3,604","3,189"
"Fort Pierce, FL",A,109,20,56,263,"1,532","2,867","3,386","4,777","14,170","12,718","11,757","12,983","7,114",39,1,0
"Freeport, TX",G,"44,515","43,509","54,261","50,179","49,986","53,521","54,639","59,837","56,201","57,689","57,255","51,542","61,368","73,681","61,520","71,657"
"Galveston, TX",G,"3,505","10,179","15,174","6,402","8,804","5,165","8,060","6,228","7,721","8,542","10,830","13,996","12,624","19,380","20,212","22,128"
"Gloucester City, NJ",A,"9,184","6,650","5,832",822,60,83,553,"3,148","2,573",855,"6,342","11,550","7,833","13,743","26,047","35,067"
"Gramercy, LA",G,937,"8,164","1,559","6,887","1,351","1,202","1,302",0,1,19,9,94,14,1,0,0
"Gulfport, MS",G,"155,667","158,946","172,800","204,089","226,668","185,873","161,621","171,857","172,608","158,634","181,339","183,076","176,248","171,305","149,222","115,175"
"Honolulu, HI",HI,"26,409","28,373","31,648","36,909","45,454","51,259","52,155","58,736","59,061","47,495","45,200","46,905","56,263","59,990","61,496","58,235"
"Houston, TX",G,"733,134","783,316","850,663","932,883","1,097,769","1,250,213","1,276,269","1,450,042","1,404,647","1,280,258","1,369,100","1,440,390","1,516,654","1,571,780","1,632,461","1,760,852"
"Jacksonville, FL",A,"110,471","103,502","114,149","113,354","143,572","147,237","152,006","618,856","618,670","636,153","705,510","737,683","743,733","753,359","759,534","756,646"
"Kodiak, AK",AK,0,16,2,96,239,516,"1,014",115,0,105,0,495,986,"1,035",290,"1,418"
"Lake Charles, LA",G,185,"2,731","3,193","4,431",959,578,235,804,893,"1,213","2,339","1,326","1,778",764,3,42
"Long Beach, CA",P,"3,203,555","3,195,120","3,183,629","3,090,712","3,764,257","4,412,302","4,770,067","5,018,503","4,616,213","3,762,538","4,466,075","4,345,622","4,363,954","4,962,920","4,933,499","4,906,828"
"Longview, WA",P,10,26,0,0,0,3,,98,745,109,233,911,413,"3,217",338,299
"Los Angeles, CA",P,"3,227,743","3,428,408","4,059,550","4,663,899","4,874,730","4,914,811","5,690,093","5,760,226","5,682,449","5,028,871","5,570,485","6,019,633","5,943,509","5,661,562","5,892,982","5,473,867"
"Mayaguez, PR",PR,"20,126","21,359","23,564","23,842","23,827","26,067","26,811","27,068","20,043","8,712","10,979","6,703","4,561","3,024","1,004",0
"Miami, FL",A,"683,504","717,100","751,986","763,930","794,650","778,437","745,532","682,702","670,611","626,398","682,272","733,699","720,866","711,388","675,524","771,489"
"Mobile, AL",G,"14,152","13,687","14,307","13,339","21,823","24,473","45,792","68,379","75,310","87,649","82,635","107,932","152,139","170,045","173,456","182,456"
"New Orleans, LA",G,"229,441","217,134","216,055","236,945","243,834","181,414","172,569","258,019","241,932","230,439","281,015","307,124","299,878","301,044","330,498","366,130"
"New York, NY",A,"2,200,343","2,355,133","2,627,116","2,803,036","3,163,197","3,416,622","3,651,245","4,015,063","4,069,847","3,598,599","4,093,436","4,307,479","4,291,988","4,197,031","4,276,766","4,520,199"
"Newport News, VA",A,"73,787","45,032","56,982","79,554","96,088","103,803","74,687","56,072","23,646",308,21,670,213,494,"4,074","3,825"
"Norfolk, VA",A,"850,400","885,392","982,007","1,093,207","1,206,034","1,324,507","1,413,926","1,585,232","1,594,770","1,375,967","1,435,258","1,482,616","1,646,573","1,834,245","1,931,510","1,965,378"
"Oakland, CA",P,"988,773","963,484","978,816","1,064,278","1,197,331","1,378,403","1,397,800","1,456,467","1,398,407","1,399,076","1,526,030","1,558,994","1,544,772","1,607,597","1,608,962","1,522,895"
"Panama City, FL",G,15,0,0,11,0,"14,087","48,586","42,382","37,448","31,141","29,075","34,071","33,940","35,844","26,684","26,087"
"Pensacola, FL",G,0,90,1,1,0,20,6,288,231,0,3,68,382,100,78,5
"Pensauken, NJ",A,150,196,155,122,158,181,635,"56,664","54,628","48,849","48,087","50,181","53,522","52,863","47,289","66,439"
"Philadelphia, PA",A,"83,256","83,408","114,659","103,408","132,223","159,557","181,706","197,923","219,655","180,040","203,742","219,386","233,178","280,710","290,852","277,419"
"Ponce, PR",PR,"39,576","37,038","28,619","7,084","1,804",129,60,405,18,27,5,0,72,138,2,0
"Port Angeles, WA",P,0,76,0,0,0,0,2,0,0,0,6,37,2,88,118,11
"Port Arthur, TX",G,7,4,171,13,11,37,53,0,0,2,191,76,345,69,206,0
"Port Canaveral, FL",A,342,229,285,38,565,"1,703",257,248,361,139,176,694,501,125,11,120
"Port Everglades, FL",A,"439,217","416,839","370,266","422,811","500,093","586,818","635,495","698,903","691,911","553,198","590,417","635,587","660,579","695,032","756,848","736,176"
"Port Hueneme, CA",P,"9,344","8,978","8,573","10,438","11,514","18,417","18,507","20,222","20,991","19,386","24,446","22,563","53,288","53,766","54,171","54,214"
"Port Manatee, FL",G,0,0,0,526,"6,155","4,338","5,070","4,959","5,539","16,300","14,985","9,915","11,562","10,583","12,043","24,601"
"Port Townsend, WA",P,0,0,0,0,3,0,29,0,0,0,0,0,0,0,10,52
"Portland, ME",A,"3,391","2,369","2,713","2,378","2,122","3,417","1,569",842,6,0,0,526,263,"2,998","5,224",0
"Portland, OR",P,"211,505","206,400","185,134","210,301","209,428","121,623","163,642","208,919","198,566","155,245","130,256","153,968","152,283","144,137","130,760","15,069"
"Portsmouth, NH",A,0,0,0,0,4,0,0,144,5,9,28,16,90,39,2,0
"San Diego, CA",P,12,4,"2,183","53,053","50,420","47,998","49,701","49,599","48,237","49,258","51,339","51,784","53,629","50,653","55,478","60,175"
"San Francisco, CA",P,"35,918","22,817","16,615","14,912","23,755",440,289,43,444,9,20,168,678,93,"1,615",224
"San Juan, PR",PR,"151,686","150,436","158,700","185,458","199,863","214,067","212,003","208,316","223,471","222,240","228,889","203,130","182,513","184,723","172,763","184,433"
"Savannah, GA",A,"720,231","812,984","1,013,893","1,124,409","1,290,178","1,490,663","1,587,813","2,049,157","2,120,737","1,914,527","2,170,364","2,285,549","2,288,143","2,363,173","2,597,825","2,819,696"
"Seattle, WA",P,"959,883","824,392","849,855","814,742","1,049,105","1,342,368","1,215,375","1,290,337","1,083,789","1,072,728","1,416,917","1,363,786","1,240,259","999,098","782,253","810,879"
"Tacoma, WA",P,"647,017","611,893","768,770","931,289","940,638","1,160,047","1,091,011","1,154,276","1,133,163","873,812","835,523","886,073","1,091,738","1,263,221","1,336,497","1,334,766"
"Tampa, FL",G,"6,074","4,196","2,644","5,629","12,292","11,530","15,594","26,686","31,080","38,770","31,370","25,864","28,873","30,315","37,721","38,406"
"Vancouver, WA",P,310,764,65,123,"2,521",469,238,376,64,154,"1,339",659,340,582,"1,588","2,752"
